S#,Title,Location,State,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
164,Washington Navy Yard,Washington D.C.,Washington,9/16/2013,,Close,random,terrorism,"On September 16, 2013, a 34-yearl old contractor for the Navy Yard in Washington D.C, entered the building shooting randomly, killing twelve people and injuring three surviving victims before he was shot and killed by law enforcement officers.  Five other people were injured during the incident while trying to escape.",13,3,15,0,34,1,Navy Yard,Yes,Black American or African American,Male,38.90480894,-77.01629717
165,Oklahoma City Residence,"Oklahoma City, Oklahoma",Oklahoma,8/14/2013,,,Family,psycho,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.",4,0,4,0,40,,,Yes,White American or European American,Male,35.46779189,-97.5191631
166,Homes in Desoto and Dallas,"Dallas, Texas",Texas,8/7/13,Home,Close,random,psycho,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",4,4,8,0,44,0,,Unknown,Black American or African American,Male,32.79480596,-96.76631094
167,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",Pennsylvania,8/5/13,Ross Township,Close,random,psycho,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",3,3,6,0,59,0,,No,White American or European American,Male,39.75344279,-79.08435956
168,Hialeah apartment shooting,"Hialeah, Florida",Florida,7/26/2013,Apartment Complex,Close,random,terrorism,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,0,42,,,Unclear,Latino,Male,25.8670105,-80.29146268
169,Santa Monica College,"Santa Monica, California",California,6/7/13,,Open+Close,random,psycho,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.",6,3,8,0,23,,,Yes,White American or European American,Male,34.02319149,-118.4815644
170,Village of Manchester in Illinois,"Manchester, Illinois",Illinois,4/24/2013,Home,Close,partner's family,anger,"On April 24, 2013, a 43-year old man traveled to the home of his former partner's family in Manchester, Illinois. He shot and killed three adults (one  of them pregnant), a boy, and an infant, all members of the same family. There was a third child who, after shooting her, the shooter took to a neighbor's house; she survived the incident. The shooter was then chased by the police by car. The car chase resulted in a shootout between the two. The shooter was shot and killed by the police.",7,1,7,0,43,,,Unknown,White American or European American,Male,39.54231335,-90.33029852
171,Pinewood Village Apartments,"Federal Way, Washington",Washington,4/21/2013,Apartment,Close,Girlfriend,anger,"On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police.",5,0,4,0,27,,,Unknown,Black American or African American,Male,47.30909721,-122.3357553
172,Mohawk and Herkimer Villages in New York,"Mohawk, New York",New York,3/13/2013,,Open+Close,random,psycho,"On March 13, 2013, an unemployed 64-year old man set his apartment on fire in Mohawk village, New York, before he went into a local barbershop and shot four people, killing two and wounding two others. Afterwards, the shooter drove to Herkimer village, where he shot and killed to other people at a local car servicing business. After the rampage, he holed up in an abandoned building where he had a standoff with police for 18 hours until he was shot and killed.",5,2,6,0,64,0,,No,White American or European American,Male,43.0104011,-75.0075119
173,"Ladera Ranch, Santa Ana, Tustin and Orange","Ladera Ranch, California",California,2/19/2013,,Open+Close,random,psycho,"On February 19, 2013, a 20-year old unemployed, part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters, drivers, and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.",4,3,6,0,20,0,,Yes,White American or European American,Male,33.54961059,-117.6415707
